Iterações,Tempo
108,0.008974075317382812
692,0.09175491333007812
289,0.02493119239807129
47,0.003987789154052734
79,0.006980180740356445
229,0.01894855499267578
545,0.04688215255737305
491,0.047872304916381836
207,0.025929927825927734
273,0.027925729751586914
64,0.005982875823974609
233,0.021938800811767578
104,0.00897359848022461
54,0.005964517593383789
222,0.018948078155517578
445,0.039887189865112305
376,0.032911062240600586
242,0.021939516067504883
246,0.023937463760375977
149,0.012964725494384766
198,0.016953468322753906
341,0.03091597557067871
316,0.03091597557067871
522,0.0498652458190918
177,0.017951011657714844
752,0.07579684257507324
220,0.021937847137451172
156,0.016953229904174805
493,0.04487872123718262
181,0.015956878662109375
29,0.0029916763305664062
18,0.0029916763305664062
760,0.07280468940734863
73,0.006980180740356445
425,0.038168907165527344
46,0.004990339279174805
868,0.07850193977355957
288,0.09825172424316406
184,0.016351938247680664
80,0.0067195892333984375
153,0.013712644577026367
76,0.006708383560180664
175,0.015694379806518555
768,0.0657036304473877
513,0.04292917251586914
245,0.021939754486083984
176,0.015980958938598633
138,0.01096963882446289
25,0.003015279769897461
467,0.03790020942687988
